Upgrade System - bonus scaling report
Generated: 2026-02-26 18:13:26

GLOBAL SCALING (obecnie)
- Tier item level range (from items.xml tier):
  T1: 1-25
  T2: 25-50
  T3: 50-75
  T4: 75-100
- Effective item level for base stats:
  effective_ilvl = max(0, item_level - tier_max)
  (tier_max = max value of tier range, e.g. T4=>100, T3=>75)
- Base stat growth from item level:
  Attack:    +1 per 15 effective ilvl
  Defense:   +1 per 15 effective ilvl
  Armor:     +1 per 15 effective ilvl
  HitChance: +1 per 15 effective ilvl
- Tier base for stat scaling enabled: true
- Rarity -> item level multiplier:
  COMMON: x1.0
  RARE: x1.5
  EPIC: x2.0
  LEGENDARY: x3.0
- Upgrade crystal -> item level gain per +1 upgrade:
  COMMON: +1 ilvl
  RARE: +2 ilvl
  EPIC: +5 ilvl
  LEGENDARY: +10 ilvl
- Max attribute slots by rarity:
  COMMON: 1 slots
  RARE: 2 slots
  EPIC: 3 slots
  LEGENDARY: 4 slots
- Rarity roll scale: 1000
- Common no-bonus cutoff: 50
- Attribute value roll formula:
  value = random(1, ceil(item_level * VALUES_PER_LEVEL))
  if VALUES_PER_LEVEL is missing -> value = 1

ENCHANTMENT LIST (US_ENCHANTMENTS)
Format: [id] name | VPL | roll | minLevel | chance | combatType | triggerType | buff
[01] Max HP | VPL=1 | roll=1..ceil(item_level * 1) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[02] Max MP | VPL=1 | roll=1..ceil(item_level * 1) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[03] Magic Level | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[04] Melee Skills | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[05] Fist Fighting | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=30 | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[06] Sword Fighting | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[07] Axe Fighting | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[08] Club Fighting | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[09] Distance Fighting | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[10] Shielding | VPL=0.25 | roll=1..ceil(item_level * 0.25) | minLevel=- | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[11] Mana Shield | VPL=- | roll=stale: 1 | minLevel=50 | chance=- | combatType=US_TYPES.CONDITION | triggerType=- | buff=-
[12] Life Steal | VPL=0.1 | roll=1..ceil(item_level * 0.1) | minLevel=- | chance=10 | combatType=US_TYPES.OFFENSIVE | triggerType=- | buff=-
[13] Experience | VPL=0.35 | roll=1..ceil(item_level * 0.35) | minLevel=- | chance=30 | combatType=- | triggerType=- | buff=-
[14] Physical Damage | VPL=2 | roll=1..ceil(item_level * 2) | minLevel=- | chance=- | combatType=US_TYPES.OFFENSIVE | triggerType=- | buff=-
[15] Energy Damage | VPL=2 | roll=1..ceil(item_level * 2) | minLevel=- | chance=- | combatType=US_TYPES.OFFENSIVE | triggerType=- | buff=-
[16] Earth Damage | VPL=2 | roll=1..ceil(item_level * 2) | minLevel=- | chance=- | combatType=US_TYPES.OFFENSIVE | triggerType=- | buff=-
[17] Fire Damage | VPL=2 | roll=1..ceil(item_level * 2) | minLevel=- | chance=- | combatType=US_TYPES.OFFENSIVE | triggerType=- | buff=-
[18] Ice Damage | VPL=2 | roll=1..ceil(item_level * 2) | minLevel=- | chance=- | combatType=US_TYPES.OFFENSIVE | triggerType=- | buff=-
[19] Holy Damage | VPL=2 | roll=1..ceil(item_level * 2) | minLevel=- | chance=- | combatType=US_TYPES.OFFENSIVE | triggerType=- | buff=-
